Area Integer,Permimeter Real,Major Axis,Minor Axis,EccentricityReal,Convex Area,Extent Real,class
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,0.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
0.0,0.0,1.0,0.0,1.0,0.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
0.0,1.0,1.0,0.0,1.0,0.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
0.0,0.0,1.0,0.0,1.0,0.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,0.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
0.0,0.0,1.0,0.0,1.0,0.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
0.0,1.0,1.0,0.0,1.0,0.0,0.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
0.0,1.0,1.0,0.0,1.0,0.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
0.0,0.0,1.0,0.0,1.0,0.0,1.0,Cammeo
0.0,1.0,1.0,0.0,1.0,0.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,0.0,0.0,Cammeo
1.0,0.0,0.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
0.0,0.0,1.0,0.0,1.0,0.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cammeo
0.0,1.0,1.0,0.0,1.0,0.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,0.0,Cammeo
0.0,1.0,1.0,0.0,1.0,0.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
0.0,0.0,0.0,0.0,1.0,0.0,0.0,Cammeo
0.0,0.0,0.0,0.0,1.0,0.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
0.0,0.0,1.0,0.0,1.0,0.0,1.0,Cammeo
