refractive index,Sodium,Magnesium,Aluminum,Silicon,Potassium,Calcium,Barium,Iron,class
3,1,2,1,All,2,3,1,All,1
2,1,2,1,All,2,2,1,All,1
1,1,2,2,All,2,2,1,All,1
2,1,2,1,All,2,2,1,All,1
2,1,2,1,All,2,2,1,All,1
1,1,2,2,All,3,2,1,All,1
2,1,2,1,All,2,2,1,All,1
2,1,2,1,All,2,2,1,All,1
3,1,2,1,All,2,2,1,All,1
2,1,2,1,All,2,3,1,All,1
1,1,2,2,All,3,2,1,All,1
2,1,2,1,All,2,3,1,All,1
1,1,2,2,All,3,2,1,All,1
2,1,2,1,All,2,3,1,All,1
2,1,2,1,All,2,3,1,All,1
2,1,2,1,All,2,3,1,All,1
2,1,2,1,All,2,3,1,All,1
3,2,2,1,All,2,3,1,All,1
3,1,2,1,All,2,3,1,All,1
2,1,2,2,All,2,3,1,All,1
2,1,2,2,All,2,3,1,All,1
3,2,2,1,All,1,3,1,All,1
2,1,2,1,All,2,3,1,All,1
2,1,2,1,All,3,3,1,All,1
1,1,2,1,All,2,3,1,All,1
2,1,2,1,All,3,3,1,All,1
2,1,2,2,All,2,3,1,All,1
1,1,2,1,All,2,3,1,All,1
2,1,2,2,All,2,3,1,All,1
2,1,2,1,All,2,3,1,All,1
2,1,2,1,All,2,3,1,All,1
2,1,2,1,All,2,3,1,All,1
2,1,2,1,All,2,3,1,All,1
2,1,2,1,All,2,3,1,All,1
2,1,2,1,All,2,3,1,All,1
1,1,2,1,All,2,3,1,All,1
3,1,2,1,All,2,3,1,All,1
2,1,2,1,All,3,3,1,All,1
3,2,2,1,All,2,3,1,All,1
3,2,2,1,All,2,3,1,All,1
2,1,2,1,All,3,3,1,All,1
2,1,2,1,All,2,3,1,All,1
2,1,2,1,All,2,3,1,All,1
3,1,2,1,All,2,3,1,All,1
2,1,2,1,All,3,3,1,All,1
3,1,2,1,All,2,3,1,All,1
3,1,2,1,All,2,3,1,All,1
3,1,2,1,All,1,3,1,All,1
3,1,2,1,All,2,3,1,All,1
3,1,2,1,All,2,3,1,All,1
3,1,2,1,All,2,3,1,All,1
3,1,2,1,All,2,3,1,All,1
3,1,2,1,All,2,3,1,All,1
3,1,2,1,All,2,3,1,All,1
2,1,2,1,All,2,3,1,All,1
2,1,2,1,All,2,3,1,All,1
1,1,2,1,All,3,3,1,All,1
3,1,2,1,All,2,3,1,All,1
2,1,2,1,All,2,2,1,All,1
2,1,2,1,All,2,2,1,All,1
3,1,2,1,All,2,3,1,All,1
3,1,2,1,All,2,3,2,All,1
3,1,2,1,All,2,3,1,All,1
3,2,2,1,All,1,3,1,All,1
3,1,2,1,All,2,3,1,All,1
3,1,2,1,All,2,3,1,All,1
3,1,2,1,All,2,3,1,All,1
3,1,2,1,All,2,3,1,All,1
3,1,2,1,All,2,3,1,All,1
3,1,2,1,All,2,4,1,All,1
1,2,2,2,All,2,2,1,All,2
3,1,2,1,All,2,3,1,All,2
1,1,2,2,All,3,2,1,All,2
1,1,2,2,All,2,2,1,All,2
1,1,2,2,All,3,2,1,All,2
1,1,2,2,All,3,2,1,All,2
1,1,2,2,All,3,2,1,All,2
1,1,2,2,All,2,2,1,All,2
1,1,2,1,All,2,2,1,All,2
1,1,2,3,All,3,2,1,All,2
1,1,2,3,All,3,2,1,All,2
1,1,2,2,All,2,2,1,All,2
1,1,2,1,All,3,2,1,All,2
1,1,2,2,All,3,2,1,All,2
1,2,2,3,All,4,2,1,All,2
1,1,2,2,All,2,2,1,All,2
1,1,2,2,All,2,2,1,All,2
1,1,2,2,All,3,2,1,All,2
1,1,2,2,All,2,2,1,All,2
1,1,2,3,All,3,2,1,All,2
3,1,2,1,All,3,3,1,All,2
1,1,2,2,All,2,2,1,All,2
1,1,2,2,All,2,3,1,All,2
1,1,2,2,All,2,2,1,All,2
1,1,2,2,All,3,2,1,All,2
3,1,2,2,All,2,3,1,All,2
3,1,2,1,All,3,3,1,All,2
2,1,2,1,All,3,3,1,All,2
1,1,2,2,All,3,3,1,All,2
3,1,2,2,All,2,3,1,All,2
1,1,2,2,All,2,3,1,All,2
1,1,2,2,All,3,3,1,All,2
3,1,2,1,All,2,3,1,All,2
3,1,2,1,All,2,4,1,All,2
3,1,2,1,All,2,4,1,All,2
3,1,1,3,All,4,4,1,All,2
3,1,1,3,All,2,4,2,All,2
3,1,1,1,All,2,4,1,All,2
3,2,1,1,All,2,4,1,All,2
3,1,1,1,All,1,4,1,All,2
3,1,1,1,All,1,4,1,All,2
3,1,1,1,All,1,4,1,All,2
3,1,1,1,All,2,4,1,All,2
3,1,2,1,All,2,2,1,All,2
3,1,2,1,All,2,3,1,All,2
3,1,2,1,All,2,2,1,All,2
3,1,2,2,All,2,2,1,All,2
1,1,2,3,All,3,2,1,All,2
1,1,2,2,All,3,2,1,All,2
1,1,2,2,All,3,2,1,All,2
3,1,2,1,All,2,3,1,All,2
1,1,2,2,All,3,2,1,All,2
1,1,2,2,All,2,2,1,All,2
1,1,2,2,All,3,2,1,All,2
3,1,2,1,All,2,3,1,All,2
3,1,2,2,All,2,3,1,All,2
1,1,2,1,All,2,3,1,All,2
3,1,1,2,All,2,3,1,All,2
3,1,1,2,All,2,3,1,All,2
3,1,1,2,All,2,4,1,All,2
3,1,1,1,All,2,4,1,All,2
3,1,1,1,All,2,4,1,All,2
3,1,2,1,All,2,2,1,All,2
3,1,2,2,All,2,2,1,All,2
3,1,2,1,All,2,2,1,All,2
2,1,2,1,All,2,3,1,All,2
3,1,2,1,All,2,3,1,All,2
1,1,2,2,All,2,2,1,All,2
1,1,2,2,All,3,2,1,All,2
1,1,2,2,All,3,2,1,All,2
1,1,2,2,All,3,2,1,All,2
3,1,2,1,All,2,3,1,All,2
1,1,2,2,All,3,2,1,All,2
1,1,2,3,All,3,2,1,All,2
1,1,2,1,All,2,3,1,All,2
3,1,2,1,All,3,3,1,All,2
2,1,2,1,All,2,3,1,All,3
1,1,2,1,All,2,3,1,All,3
1,1,2,1,All,2,3,1,All,3
1,1,2,1,All,2,3,1,All,3
1,1,2,2,All,2,3,1,All,3
3,2,2,1,All,1,3,1,All,3
2,1,2,1,All,2,3,1,All,3
1,1,2,1,All,2,3,1,All,3
1,1,2,1,All,2,3,1,All,3
1,1,2,1,All,2,3,1,All,3
1,1,2,1,All,2,3,1,All,3
3,1,2,1,All,2,3,1,All,3
2,1,2,2,All,2,3,1,All,3
2,1,2,2,All,2,3,1,All,3
3,1,2,2,All,2,3,1,All,3
3,1,2,1,All,2,3,1,All,3
3,2,2,1,All,2,3,1,All,3
1,1,1,3,All,4,1,2,All,5
3,1,1,3,All,2,4,1,All,5
3,1,1,2,All,2,4,1,All,5
3,1,1,2,All,2,4,1,All,5
3,1,1,2,All,2,4,1,All,5
1,1,1,3,All,4,4,1,All,5
3,1,1,2,All,2,4,1,All,5
3,1,1,2,All,2,4,1,All,5
1,1,1,3,All,4,1,1,All,5
1,1,1,3,All,4,1,1,All,5
3,1,1,2,All,2,4,1,All,5
3,1,1,3,All,4,3,1,All,5
3,1,1,2,All,2,4,1,All,5
3,1,1,2,All,1,3,1,All,6
3,1,1,1,All,1,3,1,All,6
3,2,1,2,All,1,3,1,All,6
3,2,1,2,All,1,3,1,All,6
1,2,1,2,All,1,2,1,All,6
3,2,1,2,All,1,3,1,All,6
3,2,1,3,All,1,4,1,All,6
3,2,1,1,All,1,4,1,All,6
1,2,1,1,All,1,1,1,All,6
1,1,2,3,All,4,1,2,All,7
3,2,2,3,All,4,1,2,All,7
3,1,2,1,All,2,3,1,All,7
3,2,1,3,All,4,3,1,All,7
3,2,1,1,All,2,3,2,All,7
1,1,1,3,All,1,3,2,All,7
1,2,1,3,All,1,3,2,All,7
1,2,1,3,All,1,3,2,All,7
1,2,1,3,All,1,3,2,All,7
1,2,1,3,All,1,3,2,All,7
1,2,1,3,All,2,3,2,All,7
1,1,1,3,All,2,3,2,All,7
1,2,1,3,All,1,3,2,All,7
1,2,1,3,All,1,3,2,All,7
1,2,1,3,All,1,3,2,All,7
1,2,1,3,All,1,3,2,All,7
1,1,1,1,All,4,3,1,All,7
1,2,1,3,All,1,3,2,All,7
1,2,1,3,All,1,2,2,All,7
1,2,1,3,All,1,3,2,All,7
1,2,1,3,All,1,3,2,All,7
1,2,1,3,All,1,3,2,All,7
3,2,1,3,All,4,1,2,All,7
1,2,1,3,All,1,3,2,All,7
1,2,1,3,All,2,3,2,All,7
1,2,1,3,All,1,3,2,All,7
3,2,1,3,All,1,3,2,All,7
1,2,1,3,All,1,3,2,All,7
1,2,1,3,All,1,3,2,All,7
