"Area Integer","Permimeter Real","Major Axis","Minor Axis","EccentricityReal","Convex Area","Extent Real","class"
7,7,6,2,6,6,2,"Cammeo"
6,7,5,3,5,6,3,"Cammeo"
6,7,6,2,6,6,3,"Cammeo"
5,4,4,2,5,4,3,"Cammeo"
6,7,6,3,6,6,3,"Cammeo"
5,6,5,2,6,5,3,"Cammeo"
7,7,6,4,3,6,3,"Cammeo"
7,7,6,4,6,6,3,"Cammeo"
6,6,4,4,2,6,3,"Cammeo"
5,5,4,2,5,5,2,"Cammeo"
6,7,6,3,6,6,3,"Cammeo"
6,7,5,3,4,6,2,"Cammeo"
7,7,6,3,6,6,3,"Cammeo"
6,6,5,3,4,6,3,"Cammeo"
5,6,5,2,6,5,3,"Cammeo"
6,7,6,2,6,6,3,"Cammeo"
7,7,6,3,6,6,2,"Cammeo"
7,7,6,3,5,6,3,"Cammeo"
5,6,6,2,6,5,3,"Cammeo"
5,6,4,3,4,5,3,"Cammeo"
6,6,5,2,6,5,2,"Cammeo"
6,6,5,3,5,6,3,"Cammeo"
5,6,5,2,6,5,3,"Cammeo"
6,7,5,4,4,6,3,"Cammeo"
6,7,6,3,6,6,2,"Cammeo"
5,5,4,2,6,5,3,"Cammeo"
7,7,6,4,5,6,3,"Cammeo"
5,5,5,2,6,5,3,"Cammeo"
5,6,5,2,6,5,3,"Cammeo"
6,7,5,4,3,6,3,"Cammeo"
5,5,4,2,5,5,2,"Cammeo"
5,6,5,2,6,5,3,"Cammeo"
7,7,5,4,2,6,3,"Cammeo"
3,4,4,1,6,3,3,"Cammeo"
6,6,5,3,4,6,3,"Cammeo"
6,6,4,3,2,6,3,"Cammeo"
6,6,5,3,5,6,3,"Cammeo"
6,6,6,3,5,6,3,"Cammeo"
6,6,5,3,3,6,3,"Cammeo"
5,7,6,1,6,5,1,"Cammeo"
4,5,4,2,6,4,2,"Cammeo"
4,6,6,1,6,5,3,"Cammeo"
6,7,6,2,6,6,3,"Cammeo"
6,6,3,3,2,6,3,"Cammeo"
6,6,5,2,6,5,1,"Cammeo"
5,6,5,2,6,5,3,"Cammeo"
4,4,4,2,5,4,3,"Cammeo"
7,7,6,4,5,6,3,"Cammeo"
7,7,6,3,6,6,3,"Cammeo"
6,7,6,3,5,6,3,"Cammeo"
7,7,6,4,5,6,3,"Cammeo"
7,7,5,4,2,6,3,"Cammeo"
6,6,6,2,6,6,2,"Cammeo"
7,7,6,2,6,6,1,"Cammeo"
4,6,5,2,6,4,3,"Cammeo"
7,7,6,3,6,6,3,"Cammeo"
4,5,4,2,6,5,3,"Cammeo"
5,6,5,2,6,5,1,"Cammeo"
7,7,6,3,6,6,3,"Cammeo"
6,6,5,3,5,6,3,"Cammeo"
6,6,5,3,5,5,3,"Cammeo"
3,3,4,1,6,3,3,"Cammeo"
7,7,6,3,6,6,3,"Cammeo"
