"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","class"
1,2,1,"All",2,"All",1,2,"All",2,1,5
1,3,1,"All",2,"All",2,2,"All",3,1,5
1,2,1,"All",2,"All",1,2,"All",3,1,5
2,1,2,"All",2,"All",2,2,"All",2,1,6
1,2,1,"All",2,"All",1,2,"All",2,1,5
1,2,1,"All",2,"All",1,2,"All",2,1,5
1,2,1,"All",2,"All",2,2,"All",1,1,5
1,2,1,"All",1,"All",1,1,"All",1,2,7
1,2,1,"All",2,"All",1,2,"All",2,1,7
1,2,2,"All",2,"All",3,2,"All",3,2,5
1,2,1,"All",2,"All",2,2,"All",2,1,5
1,2,2,"All",2,"All",3,2,"All",3,2,5
1,2,1,"All",2,"All",2,1,"All",1,2,5
1,2,1,"All",2,"All",1,2,"All",3,1,5
1,2,1,"All",2,"All",3,2,"All",3,1,5
1,2,1,"All",2,"All",3,2,"All",3,1,5
1,1,2,"All",2,"All",3,2,"All",3,2,7
1,2,1,"All",2,"All",1,2,"All",3,1,5
1,2,1,"All",2,"All",1,2,"All",1,1,4
1,1,2,"All",2,"All",1,2,"All",3,1,6
1,1,2,"All",2,"All",2,2,"All",1,1,6
1,1,2,"All",2,"All",2,2,"All",3,1,5
1,2,1,"All",2,"All",1,2,"All",3,1,5
1,2,1,"All",2,"All",2,2,"All",1,1,5
1,1,1,"All",2,"All",1,2,"All",2,1,6
1,1,1,"All",2,"All",1,2,"All",2,1,5
1,1,1,"All",2,"All",1,2,"All",2,1,5
1,2,1,"All",2,"All",1,2,"All",3,1,5
1,2,1,"All",2,"All",1,2,"All",2,1,5
1,2,1,"All",2,"All",1,2,"All",2,1,6
1,2,1,"All",2,"All",2,2,"All",2,2,5
1,2,1,"All",2,"All",1,2,"All",2,3,6
1,2,1,"All",2,"All",3,2,"All",3,1,5
1,2,1,"All",2,"All",2,2,"All",1,1,6
1,1,1,"All",2,"All",1,2,"All",2,1,5
1,2,1,"All",2,"All",1,2,"All",2,1,6
1,2,1,"All",2,"All",1,2,"All",2,3,6
1,1,1,"All",1,"All",1,2,"All",3,1,7
1,3,1,"All",2,"All",1,1,"All",1,1,4
1,2,2,"All",2,"All",2,2,"All",3,2,5
1,2,2,"All",2,"All",2,2,"All",3,2,5
1,2,2,"All",2,"All",1,2,"All",1,1,4
1,2,1,"All",2,"All",1,2,"All",3,2,6
1,2,1,"All",2,"All",1,2,"All",3,2,5
1,2,1,"All",1,"All",1,2,"All",1,1,5
1,2,1,"All",1,"All",2,1,"All",2,4,4
1,3,2,"All",2,"All",3,2,"All",3,1,5
1,1,2,"All",2,"All",1,2,"All",2,1,5
1,1,1,"All",1,"All",1,2,"All",2,1,5
1,1,2,"All",2,"All",3,2,"All",2,1,5
1,2,1,"All",2,"All",1,2,"All",3,1,5
1,2,1,"All",2,"All",1,2,"All",2,1,6
1,2,1,"All",1,"All",1,2,"All",2,1,6
1,1,2,"All",2,"All",3,2,"All",2,1,5
1,2,1,"All",2,"All",2,2,"All",2,2,6
1,2,1,"All",2,"All",1,2,"All",1,1,5
2,1,2,"All",2,"All",1,2,"All",2,1,5
1,2,1,"All",2,"All",3,2,"All",3,1,5
1,2,1,"All",2,"All",1,2,"All",2,2,5
1,1,2,"All",2,"All",1,2,"All",2,1,6
1,1,2,"All",2,"All",1,2,"All",2,1,5
1,2,2,"All",2,"All",3,2,"All",3,1,5
1,2,1,"All",2,"All",1,2,"All",2,1,7
1,2,1,"All",2,"All",1,2,"All",2,1,5
1,2,1,"All",2,"All",1,2,"All",1,3,5
1,2,1,"All",2,"All",1,2,"All",1,3,5
1,2,1,"All",2,"All",1,2,"All",2,1,5
1,2,1,"All",2,"All",1,2,"All",2,3,5
1,1,2,"All",2,"All",2,2,"All",3,3,5
1,2,1,"All",2,"All",1,2,"All",3,2,6
1,2,1,"All",2,"All",1,2,"All",2,1,6
1,2,1,"All",2,"All",3,2,"All",1,1,5
1,2,1,"All",2,"All",2,2,"All",1,1,5
1,2,1,"All",2,"All",1,2,"All",1,1,4
1,1,2,"All",2,"All",2,2,"All",3,1,5
1,1,2,"All",2,"All",1,2,"All",3,2,5
1,1,2,"All",2,"All",1,2,"All",3,2,5
1,2,1,"All",2,"All",1,2,"All",2,3,6
1,2,1,"All",2,"All",2,2,"All",1,2,5
1,2,1,"All",2,"All",3,2,"All",3,1,4
1,2,1,"All",2,"All",1,2,"All",2,1,5
1,2,2,"All",2,"All",2,2,"All",3,1,5
1,2,2,"All",2,"All",2,2,"All",2,1,5
1,2,1,"All",2,"All",1,2,"All",3,1,5
1,1,2,"All",2,"All",2,2,"All",3,2,6
1,2,1,"All",2,"All",1,2,"All",2,2,5
