"mcg","gvh","alm","mit","erl","pox","vac","nuc","class"
2,2,2,1,1,1,"All",3,"MIT"
1,3,3,1,1,1,"All",3,"MIT"
2,2,3,1,1,1,"All",3,"MIT"
2,1,3,1,1,1,"All",3,"NUC"
1,1,3,3,1,1,"All",3,"MIT"
2,1,3,1,1,2,"All",3,"CYT"
2,2,3,3,1,1,"All",3,"MIT"
2,1,3,1,1,1,"All",4,"NUC"
2,1,3,2,1,1,"All",3,"MIT"
1,1,3,1,1,1,"All",4,"CYT"
1,1,3,1,1,1,"All",4,"NUC"
1,1,3,1,1,1,"All",4,"NUC"
1,1,3,2,1,1,"All",4,"CYT"
2,1,3,3,1,1,"All",3,"MIT"
2,2,2,1,1,1,"All",3,"MIT"
2,1,3,1,1,1,"All",3,"CYT"
2,1,3,1,1,1,"All",4,"CYT"
2,1,3,1,1,1,"All",4,"NUC"
2,1,3,1,1,1,"All",3,"NUC"
2,2,3,1,1,1,"All",4,"NUC"
2,1,3,1,1,1,"All",3,"CYT"
1,1,3,1,1,1,"All",3,"CYT"
3,2,1,1,1,1,"All",3,"CYT"
1,2,3,1,1,1,"All",3,"CYT"
2,2,3,1,1,1,"All",3,"CYT"
2,1,3,3,1,1,"All",3,"MIT"
2,1,3,1,1,1,"All",4,"CYT"
2,1,3,1,1,1,"All",3,"CYT"
2,3,3,1,1,1,"All",3,"MIT"
3,3,1,2,1,1,"All",4,"ME1"
2,2,1,1,1,1,"All",4,"NUC"
2,1,1,3,1,1,"All",3,"MIT"
1,2,3,1,1,1,"All",4,"CYT"
1,2,3,3,1,1,"All",3,"NUC"
3,3,1,1,1,1,"All",3,"ME1"
3,3,2,2,1,1,"All",3,"EXC"
3,2,2,1,1,1,"All",4,"MIT"
1,1,3,1,1,1,"All",4,"CYT"
2,2,1,3,1,1,"All",3,"MIT"
2,2,3,2,1,1,"All",3,"MIT"
3,3,1,1,1,1,"All",3,"ME2"
3,3,3,2,1,1,"All",3,"ME2"
3,2,1,1,1,1,"All",3,"ME2"
1,2,1,1,1,1,"All",3,"ME3"
1,1,3,1,1,1,"All",4,"VAC"
2,1,3,2,1,1,"All",4,"NUC"
3,3,3,3,1,1,"All",4,"ME2"
2,1,3,1,1,1,"All",3,"EXC"
3,2,3,1,1,1,"All",3,"VAC"
1,1,1,1,1,1,"All",3,"ME3"
2,1,3,1,1,1,"All",4,"CYT"
1,2,2,1,1,1,"All",4,"ME3"
2,1,3,3,1,1,"All",4,"NUC"
2,1,3,1,1,1,"All",3,"CYT"
2,2,3,1,1,1,"All",3,"CYT"
2,2,3,1,1,1,"All",3,"CYT"
2,2,3,1,1,1,"All",3,"CYT"
2,1,3,2,1,1,"All",3,"CYT"
1,1,3,1,1,1,"All",3,"CYT"
2,2,3,3,1,1,"All",3,"MIT"
1,1,3,3,1,1,"All",3,"MIT"
1,1,2,1,1,1,"All",4,"NUC"
2,1,3,1,1,1,"All",4,"NUC"
1,1,3,1,1,1,"All",4,"NUC"
2,1,2,1,1,1,"All",4,"CYT"
2,1,2,1,1,1,"All",4,"CYT"
1,1,3,1,1,1,"All",3,"CYT"
2,2,3,1,1,1,"All",3,"CYT"
2,1,3,1,1,1,"All",3,"CYT"
3,3,2,2,1,1,"All",3,"EXC"
2,1,3,1,1,1,"All",3,"CYT"
2,1,3,1,1,1,"All",4,"CYT"
2,1,2,3,1,1,"All",3,"MIT"
2,2,3,3,1,1,"All",3,"MIT"
2,1,3,1,1,1,"All",3,"MIT"
2,1,3,3,1,1,"All",4,"MIT"
2,2,3,2,1,1,"All",3,"MIT"
2,2,3,3,1,1,"All",4,"MIT"
2,2,3,2,1,1,"All",3,"MIT"
1,2,3,3,1,1,"All",3,"MIT"
2,1,3,3,1,1,"All",3,"MIT"
2,2,2,3,1,1,"All",3,"MIT"
2,2,3,3,1,1,"All",3,"MIT"
2,2,3,2,1,1,"All",3,"MIT"
2,2,1,3,1,2,"All",3,"MIT"
1,2,1,1,1,1,"All",3,"ME3"
1,1,1,1,1,1,"All",3,"ME3"
3,2,2,1,1,1,"All",3,"EXC"
2,2,3,1,1,1,"All",4,"NUC"
1,1,3,3,1,1,"All",4,"CYT"
1,1,3,3,1,1,"All",4,"CYT"
2,1,2,1,1,1,"All",4,"MIT"
1,1,3,1,1,1,"All",3,"CYT"
1,1,3,1,1,1,"All",4,"NUC"
2,2,3,1,1,1,"All",4,"CYT"
1,1,1,1,1,1,"All",3,"ME3"
3,3,3,2,1,1,"All",3,"EXC"
2,3,1,2,1,1,"All",3,"MIT"
3,3,1,1,1,1,"All",3,"MIT"
2,2,3,1,1,1,"All",3,"CYT"
1,2,1,1,1,1,"All",3,"ME3"
1,1,1,1,1,1,"All",3,"ME3"
2,2,3,2,1,1,"All",3,"CYT"
2,1,3,1,1,1,"All",4,"NUC"
2,1,3,1,1,1,"All",3,"CYT"
