refractive index,Sodium,Magnesium,Aluminum,Silicon,Potassium,Calcium,Barium,Iron,class
2,1,2,1,All,1,2,All,All,1
2,2,2,1,All,2,1,All,All,1
1,1,2,2,All,2,1,All,All,1
2,1,2,1,All,2,1,All,All,1
2,1,2,1,All,2,1,All,All,1
1,1,2,2,All,2,1,All,All,1
2,1,2,1,All,2,1,All,All,1
2,1,2,1,All,2,1,All,All,1
2,2,2,1,All,2,1,All,All,1
2,1,2,1,All,2,2,All,All,1
1,1,2,2,All,2,1,All,All,1
2,1,2,1,All,2,2,All,All,1
1,1,2,2,All,2,1,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,2,2,1,All,2,2,All,All,1
2,2,2,1,All,1,2,All,All,1
2,1,2,3,All,2,2,All,All,1
2,1,2,2,All,2,2,All,All,1
2,2,2,1,All,1,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
1,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,2,All,2,2,All,All,1
1,1,2,1,All,2,2,All,All,1
2,1,2,2,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
1,1,2,1,All,2,2,All,All,1
2,2,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,2,2,1,All,1,3,All,All,1
2,2,2,1,All,1,3,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,3,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,2,2,1,All,1,3,All,All,1
2,1,2,1,All,2,3,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,1,3,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
1,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,1,All,All,1
2,1,2,1,All,2,1,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,2,All,All,1
2,1,2,1,All,2,3,All,All,1
2,2,2,1,All,1,3,All,All,1
2,1,2,1,All,2,3,All,All,1
2,1,2,1,All,1,3,All,All,1
2,1,2,1,All,2,3,All,All,1
2,1,2,1,All,2,3,All,All,1
2,1,2,1,All,2,3,All,All,1
2,1,2,1,All,2,3,All,All,1
1,2,2,3,All,2,1,All,All,2
2,1,2,1,All,2,2,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
1,2,2,1,All,2,1,All,All,2
1,1,2,3,All,2,1,All,All,2
1,1,2,3,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,1,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
1,2,2,3,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,3,All,2,1,All,All,2
2,1,2,1,All,2,2,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,2,All,1,2,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
2,1,2,2,All,2,2,All,All,2
2,1,2,1,All,2,2,All,All,2
2,1,2,1,All,2,2,All,All,2
1,1,2,3,All,2,2,All,All,2
2,1,2,2,All,2,2,All,All,2
1,1,2,2,All,2,2,All,All,2
1,1,2,2,All,2,3,All,All,2
2,1,2,1,All,2,3,All,All,2
2,1,2,1,All,1,3,All,All,2
2,1,2,1,All,1,3,All,All,2
2,1,1,3,All,2,3,All,All,2
2,1,1,3,All,2,3,All,All,2
2,1,1,1,All,2,3,All,All,2
2,2,1,1,All,1,3,All,All,2
2,1,1,1,All,1,3,All,All,2
2,1,1,1,All,1,3,All,All,2
2,1,1,1,All,1,3,All,All,2
2,1,1,1,All,1,3,All,All,2
2,1,2,1,All,2,1,All,All,2
2,1,2,1,All,2,2,All,All,2
2,1,2,1,All,2,1,All,All,2
2,1,2,2,All,2,1,All,All,2
1,1,2,3,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
2,1,2,1,All,2,2,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,3,All,2,1,All,All,2
2,1,2,1,All,2,2,All,All,2
2,1,2,2,All,2,2,All,All,2
1,1,2,1,All,2,2,All,All,2
2,1,1,2,All,2,3,All,All,2
2,1,1,3,All,2,3,All,All,2
2,2,1,2,All,2,3,All,All,2
2,1,1,1,All,2,3,All,All,2
2,1,1,1,All,2,3,All,All,2
2,1,2,1,All,2,1,All,All,2
2,1,2,2,All,2,1,All,All,2
2,1,2,1,All,2,1,All,All,2
2,1,2,1,All,2,2,All,All,2
2,1,2,1,All,2,2,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,3,All,2,1,All,All,2
1,1,2,2,All,2,1,All,All,2
2,1,2,1,All,2,2,All,All,2
1,1,2,2,All,2,1,All,All,2
1,1,2,3,All,2,1,All,All,2
1,1,2,1,All,2,2,All,All,2
2,1,2,1,All,2,2,All,All,2
2,1,2,1,All,1,2,All,All,3
1,1,2,1,All,2,2,All,All,3
1,1,2,1,All,2,2,All,All,3
1,1,2,1,All,2,2,All,All,3
1,1,2,3,All,2,2,All,All,3
2,2,2,1,All,1,3,All,All,3
2,1,2,1,All,1,2,All,All,3
