sepal_length,sepal_width,petal_length,petal_width,class
1,2,1,1,Iris-setosa
1,1,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,1,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,1,1,1,Iris-setosa
1,1,1,1,Iris-setosa
2,2,1,1,Iris-setosa
2,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
2,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,1,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,1,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,1,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,1,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
1,2,1,1,Iris-setosa
2,2,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
2,2,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
1,1,2,2,Iris-versicolor
2,1,2,2,Iris-versicolor
2,2,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
1,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,1,2,2,Iris-virginica
2,2,2,2,Iris-virginica
2,1,2,2,Iris-virginica
